
          t          rx          ry          rz         omx         omy         omz         Omx         Omy         Omz         fix         fiy         fiz 
       0.000    4226.800    3085.944   -4321.376       0.000       0.000       0.000       0.000       0.000       0.000      74.734     120.755     -75.017
       0.100    4226.860    3086.524   -4320.881      -0.057      -0.029       0.057      38.197      38.197     -38.197      74.722     120.745     -75.018
       0.200    4226.919    3087.103   -4320.386      -0.115      -0.057       0.115      76.394      76.394     -76.394      74.681     120.711     -75.020
       0.300    4226.978    3087.682   -4319.891      -0.172      -0.086       0.172     114.592     114.592    -114.592      74.610     120.652     -75.023
       0.400    4227.037    3088.261   -4319.396      -0.229      -0.115       0.229     152.789     152.789    -152.789      74.510     120.569     -75.027
       0.500    4227.096    3088.841   -4318.901      -0.286      -0.143       0.286     190.986     190.986    -190.986      74.381     120.461     -75.032
       0.600    4227.155    3089.420   -4318.406      -0.344      -0.172       0.344     229.183     229.183    -229.183      74.223     120.329     -75.039
       0.700    4227.214    3089.999   -4317.911      -0.401      -0.201       0.401     267.380     267.380    -267.380      74.035     120.173     -75.046
       0.800    4227.273    3090.578   -4317.416      -0.458      -0.229       0.458     305.577     305.577    -305.577      73.817     119.992     -75.055
       0.900    4227.332    3091.157   -4316.920      -0.516      -0.258       0.516     343.775     343.775    -343.775      73.570     119.786     -75.065
       1.000    4227.391    3091.736   -4316.425      -0.573      -0.286       0.573     381.972     381.972    -381.972      73.293     119.555     -75.075
       1.100    4227.450    3092.315   -4315.929      -0.630      -0.315       0.630     420.169     420.169    -420.169      72.987     119.300     -75.087
       1.200    4227.509    3092.894   -4315.434      -0.688      -0.344       0.688     458.366     458.366    -458.366      72.650     119.019     -75.098
       1.300    4227.567    3093.473   -4314.938      -0.745      -0.372       0.745     496.563     496.563    -496.563      72.284     118.714     -75.111
       1.400    4227.626    3094.052   -4314.443      -0.801      -0.401       0.802     534.077     534.761    -534.761      71.887     118.383     -75.124
       1.500    4227.684    3094.630   -4313.947      -0.856      -0.430       0.859     570.519     572.958    -572.958      71.461     118.027     -75.137
       1.600    4227.743    3095.209   -4313.451      -0.909      -0.458       0.916     605.893     611.155    -610.731      71.004     117.645     -75.151
       1.700    4227.801    3095.788   -4312.956      -0.960      -0.487       0.972     640.203     649.352    -647.700      70.518     117.239     -75.164
       1.800    4227.860    3096.367   -4312.460      -1.010      -0.516       1.026     673.450     687.549    -683.884      70.003     116.807     -75.178
       1.900    4227.918    3096.945   -4311.964      -1.058      -0.544       1.079     705.640     725.747    -719.299      69.459     116.351     -75.191
       2.000    4227.976    3097.524   -4311.468      -1.105      -0.573       1.131     736.775     763.944    -753.962      68.887     115.871     -75.204
       2.100    4228.035    3098.102   -4310.972      -1.150      -0.602       1.182     766.859     802.141    -787.888      68.288     115.367     -75.216
       2.200    4228.093    3098.681   -4310.476      -1.194      -0.630       1.232     795.897     840.338    -821.092      67.661     114.840     -75.228
       2.300    4228.151    3099.259   -4309.980      -1.236      -0.659       1.280     823.892     878.535    -853.591      67.008     114.290     -75.240
       2.400    4228.209    3099.838   -4309.484      -1.276      -0.688       1.328     850.850     916.732    -885.399      66.328     113.717     -75.250
       2.500    4228.267    3100.416   -4308.988      -1.315      -0.716       1.375     876.776     954.930    -916.529      65.623     113.121     -75.259
       2.600    4228.325    3100.995   -4308.491      -1.353      -0.745       1.420     901.674     993.127    -946.996      64.893     112.504     -75.267
       2.700    4228.383    3101.573   -4307.995      -1.388      -0.773       1.465     925.550    1031.324    -976.814      64.139     111.865     -75.274
       2.800    4228.441    3102.151   -4307.499      -1.423      -0.802       1.509     948.410    1069.521   -1005.995      63.360     111.205     -75.279
       2.900    4228.499    3102.730   -4307.002      -1.455      -0.831       1.552     970.259    1107.718   -1034.552      62.558     110.524     -75.282
       3.000    4228.556    3103.308   -4306.506      -1.487      -0.859       1.594     991.104    1145.916   -1062.497      61.733     109.823     -75.283
       3.100    4228.614    3103.886   -4306.009      -1.516      -0.888       1.635    1010.951    1184.113   -1089.842      60.886     109.102     -75.283
       3.200    4228.672    3104.464   -4305.513      -1.545      -0.917       1.675    1029.806    1222.310   -1116.599      60.018     108.362     -75.280
       3.300    4228.729    3105.042   -4305.016      -1.572      -0.945       1.714    1047.677    1260.507   -1142.778      59.128     107.604     -75.274
       3.400    4228.787    3105.620   -4304.519      -1.597      -0.974       1.753    1064.570    1298.704   -1168.391      58.219     106.827     -75.266
       3.500    4228.844    3106.198   -4304.022      -1.621      -1.003       1.790    1080.495    1336.902   -1193.448      57.290     106.032     -75.256
       3.600    4228.902    3106.776   -4303.526      -1.643      -1.031       1.827    1095.457    1375.099   -1217.960      56.342     105.221     -75.242
       3.700    4228.959    3107.354   -4303.029      -1.664      -1.060       1.863    1109.466    1413.296   -1241.935      55.377     104.393     -75.225
       3.800    4229.016    3107.932   -4302.532      -1.684      -1.089       1.898    1122.530    1451.493   -1265.384      54.394     103.550     -75.205
       3.900    4229.074    3108.510   -4302.035      -1.702      -1.117       1.932    1134.659    1489.690   -1288.315      53.396     102.692     -75.182
       4.000    4229.131    3109.088   -4301.538      -1.719      -1.146       1.966    1145.861    1527.887   -1310.737      52.381     101.819     -75.155
       4.100    4229.188    3109.665   -4301.041      -1.734      -1.175       1.999    1156.146    1566.085   -1332.660      51.353     100.933     -75.124
       4.200    4229.245    3110.243   -4300.544      -1.748      -1.203       2.031    1165.524    1604.282   -1354.090      50.311     100.035     -75.089
       4.300    4229.302    3110.821   -4300.046      -1.761      -1.232       2.063    1174.006    1642.479   -1375.037      49.256      99.125     -75.050
       4.400    4229.359    3111.399   -4299.549      -1.772      -1.261       2.093    1181.602    1680.676   -1395.507      48.190      98.204     -75.007
       4.500    4229.416    3111.976   -4299.052      -1.782      -1.289       2.123    1188.324    1718.873   -1415.509      47.113      97.273     -74.960
       4.600    4229.473    3112.554   -4298.554      -1.791      -1.318       2.153    1194.184    1757.071   -1435.048      46.027      96.332     -74.908
       4.700    4229.530    3113.131   -4298.057      -1.799      -1.346       2.181    1199.194    1795.268   -1454.133      44.932      95.383     -74.851
       4.800    4229.587    3113.709   -4297.560      -1.805      -1.375       2.209    1203.366    1833.465   -1472.770      43.829      94.427     -74.790
       4.900    4229.643    3114.286   -4297.062      -1.810      -1.404       2.236    1206.713    1871.662   -1490.966      42.720      93.464     -74.724
       5.000    4229.700    3114.864   -4296.564      -1.814      -1.432       2.263    1209.248    1909.859   -1508.726      41.605      92.496     -74.653
